"구분","정책 ID","정책 기준","구현/테스트 기준","참고 근거"
"대기 승격","POL-WAIT-02","자동 승격은 예약 취소, 학생 노쇼 자동 취소, 관리자 변경 승인으로 빈 시간이 발생한 경우에 실행하며, 승격 결과는 알림과 감사 로그에 남긴다.","취소 후 알림과 audit-logs.yaml 기록 확인","운영 추적성과 사용자 신뢰 확보"
"파일 저장","POL-FILE-01","파일 저장은 temp 파일 작성, 스키마 검증, 원본 교체 순서로 수행한다.","저장 중 예외 발생 시 원본 파일이 유지되는지 테스트","DB 금지 조건에서 데이터 손상 위험을 낮추기 위한 개발 기준"
"파일 저장","POL-FILE-02","예약 생성/승인/취소는 roomId + date 단위 잠금을 사용한다.","동일 강의실/동일 시간대 동시 예약 2건 중 1건만 성공하는지 테스트","원본 STR-008의 동기화 요구사항"
"백업","POL-BACKUP-01","백업은 data 파일 전체와 manifest.yaml을 포함한다. manifest에는 생성일, 생성자, 데이터 버전, 포함 파일 목록을 기록한다.","백업 폴더에 manifest와 모든 데이터 파일이 존재하는지 테스트","복구 가능성과 추적성을 높이기 위한 운영 기준"
"백업","POL-BACKUP-02","복구 전에는 현재 데이터를 pre-restore 백업으로 자동 저장한다.","복구 실행 시 backups/pre-restore-* 폴더 생성 여부 테스트","복구 실패 시 되돌릴 수 있게 하기 위한 안정성 기준"
"백업","POL-BACKUP-03","복구는 스키마 검증, 참조 무결성 검증, 시간 충돌 검증을 통과한 경우에만 수행한다.","잘못된 classroomId 또는 중복 예약이 있는 백업 복구가 실패하는지 테스트","파일 기반 시스템의 데이터 무결성 기준"
"시설 신고","POL-FAC-01","시설 신고 상태는 RECEIVED, IN_PROGRESS, RESOLVED, REJECTED 네 가지로 관리한다.","신고 생성 시 RECEIVED, 관리자 처리 시 상태 변경 테스트","현업 이슈 트래킹 흐름을 단순화한 기준"
"시설 신고","POL-FAC-02","허용 상태 전이는 RECEIVED→IN_PROGRESS/REJECTED, IN_PROGRESS→RESOLVED/REJECTED, REJECTED→RECEIVED, RESOLVED는 종료 상태로 한다.","RESOLVED에서 IN_PROGRESS로 되돌릴 수 없는지 테스트","처리 완료 이력의 신뢰성 확보"
"시설 신고","POL-FAC-03","문제 유형은 OUTLET, PROJECTOR, PC, CLEANLINESS, ACCESSIBILITY, OTHER로 제한한다.","허용되지 않은 유형 저장 실패 테스트","콘센트/장비/청결 중심의 프로젝트 범위 제한"
"시설 신고","POL-FAC-04","HIGH 심각도 신고가 처리 중인 강의실은 예약 화면에 경고를 표시하고, 관리자가 강의실을 사용 불가로 전환할 수 있다.","HIGH 신고 강의실 예약 화면 경고 표시 테스트","시설 상태가 예약 의사결정에 반영되어야 함"
"사용 후 점검","POL-POSTUSE-01","예약 종료 후 24시간 이내에 이상 없음 또는 시설 문제를 기록할 수 있으며, 시설 문제 선택 시 시설 신고 RECEIVED 상태로 연결한다.","예약 종료 후 24시간 이내 점검 가능, 25시간 후 점검 실패 테스트","장비/시설 상태 최신성을 높이는 운영 기준"
"운영 공지","POL-NOTICE-01","운영 공지는 대상 범위 BUILDING, FLOOR, ROOM 중 하나와 시작일시, 종료일시, 심각도 INFO, WARNING, BLOCKING을 가진다.","필수 값 누락 또는 종료일시가 시작일시보다 빠른 공지 저장 실패 테스트","범위가 명확한 공지 모델"
"운영 공지","POL-NOTICE-02","BLOCKING 공지가 적용된 강의실과 시간대에는 신규 예약을 차단하고, 기존 예약은 관리자 검토 대상에 표시한다.","BLOCKING 시간대 예약 신청 실패와 기존 예약 검토 목록 표시 테스트","공사/점검 시 예약 충돌 방지"
"감사 로그","POL-AUDIT-01","로그인, 권한 실패, 예약 신청, 예약 변경, 승인, 거부, 취소, 자동 승격, 노쇼, 시설 신고 상태 변경, 운영 공지, 백업, 복구는 감사 로그에 기록한다.","각 행위 후 audit-logs.yaml에 이력이 남는지 테스트","Skedda는 체크인/미체크인 이벤트를 활동 로그로 기록하고, OWASP는 권한 로깅을 권장한다."
